Angle (Degrees) DistIR (cm)     Dist PING (cm) 
176             108.02          52.56          
174             101.23          48.29          
172             93.56           44.31          
170             88.15           41.20          
168             85.30           36.83          
166             84.25           34.85          
164             84.15           32.00          
162             84.40           32.56          
160             83.26           31.57          
158             82.35           33.87          
156             80.01           34.11          
154             73.21           32.69          
152             69.77           30.73          
150             64.76           29.26          
148             63.45           28.47          
146             63.78           28.08          
144             63.37           27.99          
142             63.01           28.05          
140             62.25           28.17          
138             62.08           28.21          
136             59.79           28.21          
134             60.52           28.18          
132             61.89           28.17          
130             63.93           28.16          
128             66.19           28.15          
126             65.03           28.13          
124             63.10           28.12          
122             61.12           28.14          
120             60.25           29.47          
118             58.48           33.54          
116             59.66           43.95          
114             61.47           61.11          
112             62.04           74.79          
110             62.64           82.75          
108             62.17           86.16          
106             62.00           78.79          
104             61.86           78.40          
102             61.04           80.47          
100             57.63           82.67          
98              54.09           73.19          
96              52.59           73.68          
94              53.89           61.10          
92              57.47           64.87          
90              60.46           62.17          
88              62.57           68.88          
86              63.64           76.49          
84              65.25           72.42          
82              66.14           68.55          
80              66.61           54.46          
78              66.57           59.94          
76              66.71           51.87          
74              66.16           42.18          
72              65.35           34.33          
70              64.02           28.46          
68              62.55           23.97          
66              61.75           21.63          
64              59.31           20.43          
62              57.03           19.86          
60              47.41           19.63          
58              34.89           19.59          
56              25.41           19.62          
54              19.75           19.67          
52              17.48           19.63          
50              17.38           19.65          
48              19.37           19.60          
46              29.32           19.63          
44              41.23           19.74          
42              49.94           19.78          
40              54.68           19.92          
38              56.96           20.37          
36              56.31           20.79          
34              54.97           21.14          
32              54.86           21.63          
30              55.18           23.93          
28              54.45           26.71          
26              53.45           39.04          
24              54.47           50.52          
22              55.87           57.89          
20              57.26           61.52          
18              56.69           62.74          
16              55.90           62.81          
14              56.69           62.55          
12              58.09           62.16          
10              59.20           61.87          
8               59.66           61.83          
6               59.27           62.12          
4               60.44           61.94          
2               40.68           41.24          
0               62.34           62.38          
Object#    Angle      Distance   Width     
1          69         19.60      126       

Count: 1
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             72.30           68.72          
178             100.63          97.05          
176             104.87          102.48         
174             99.66           98.46          
172             93.03           92.64          
170             88.15           88.15          
168             85.47           85.60          
166             84.42           84.55          
164             84.26           84.35          
162             84.46           74.29          
160             84.70           65.44          
158             84.88           60.87          
156             84.98           67.39          
154             85.02           75.43          
152             85.03           81.30          
150             85.02           84.49          
148             85.01           85.72          
146             85.00           85.89          
144             85.00           85.65          
142             83.31           81.48          
140             82.09           80.24          
138             79.22           77.18          
136             76.38           72.09          
134             73.56           70.27          
132             70.13           67.31          
130             67.26           63.48          
128             65.62           62.49          
126             64.54           63.70          
124             63.41           65.82          
122             60.48           71.98          
120             57.96           78.37          
118             58.01           82.22          
116             59.36           81.01          
114             61.07           76.87          
112             62.17           78.20          
110             60.88           74.60          
108             61.32           73.93          
106             63.00           77.40          
104             64.73           77.64          
102             64.50           75.96          
100             64.89           78.41          
98              63.60           81.42          
96              61.25           71.43          
94              61.67           67.18          
92              62.83           71.71          
90              63.85           77.64          
88              63.32           82.08          
86              61.88           78.14          
84              61.02           70.35          
82              60.71           54.02          
80              59.10           54.63          
78              58.04           64.96          
76              58.70           75.08          
74              57.61           79.67          
72              55.72           82.98          
70              56.06           84.75          
68              56.68           71.93          
66              57.31           72.01          
64              59.22           69.03          
62              61.45           73.36          
60              63.53           78.68          
58              65.05           82.56          
56              66.13           84.67          
54              66.66           72.07          
52              66.78           65.76          
50              65.28           51.66          
48              64.80           39.11          
46              64.30           32.13          
44              63.95           28.95          
42              62.90           27.66          
40              62.42           27.43          
38              60.16           27.60          
36              59.56           26.28          
34              59.45           24.88          
32              58.51           23.86          
30              56.83           23.35          
28              49.01           22.98          
26              37.53           22.93          
24              28.09           22.85          
22              22.39           22.62          
20              20.02           22.52          
18              19.53           22.67          
16              22.92           22.84          
14              33.59           22.88          
12              44.71           22.95          
10              52.78           23.07          
8               57.34           23.24          
6               59.21           23.31          
4               58.10           23.45          
2               38.36           15.69          
0               56.78           46.74          
Object#    Angle      Distance   Width     
1          85         22.84      158       

Count: 1
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             77.56           70.56          
178             105.89          98.90          
176             108.37          103.71         
174             101.41          99.08          
172             93.62           92.84          
170             88.15           88.15          
168             85.28           85.53          
166             84.23           84.49          
164             84.13           79.35          
162             84.39           73.53          
160             84.68           70.32          
158             84.88           64.20          
156             84.99           62.36          
154             85.03           69.30          
152             85.03           76.84          
150             85.02           82.08          
148             85.01           84.80          
146             85.00           85.77          
144             85.00           82.90          
142             85.00           82.64          
140             85.00           83.34          
138             85.00           84.13          
136             85.00           84.68          
134             84.07           84.97          
132             80.99           85.08          
130             77.81           85.09          
128             73.60           80.39          
126             70.85           80.36          
124             68.01           81.89          
122             65.51           83.44          
120             62.56           84.48          
118             60.48           85.00          
116             58.91           85.17          
114             57.57           85.17          
112             58.83           81.45          
110             60.90           81.40          
108             61.73           82.58          
106             60.03           78.25          
104             58.76           75.45          
102             59.64           74.89          
100             61.65           71.73          
98              63.92           69.40          
96              65.58           71.00          
94              67.33           68.97          
92              67.52           61.37          
90              65.54           51.92          
88              64.73           46.71          
86              64.93           43.42          
84              65.06           56.18          
82              63.53           70.04          
80              63.27           79.65          
78              63.10           76.21          
76              61.18           70.04          
74              61.43           62.79          
