Angle (Degrees) DistIR (cm)     Dist PING (cm) 
162             84.30           54.42          
160             84.65           47.11          
158             84.88           49.62          
156             85.00           44.08          
154             85.04           48.96          
152             85.04           46.16          
150             85.03           55.92          
148             85.01           64.19          
146             85.00           73.88          
144             85.00           76.45          
142             85.00           80.15          
140             85.00           80.92          
138             85.00           82.54          
136             85.00           81.18          
134             85.00           78.01          
132             85.00           74.86          
130             85.00           72.96          
128             85.00           72.27          
126             85.00           71.77          
124             85.00           71.79          
122             85.00           71.68          
120             85.00           72.14          
118             85.00           69.94          
116             85.00           65.94          
114             85.00           63.59          
112             85.00           66.84          
110             85.00           69.89          
108             85.00           71.59          
106             85.00           70.77          
104             85.00           68.01          
102             85.00           67.23          
100             85.00           68.61          
98              85.00           65.94          
96              83.81           67.00          
94              81.64           52.13          
92              80.64           34.02          
90              78.84           20.86          
88              76.81           13.59          
86              73.13           10.52          
84              65.08           9.66           
82              52.63           9.80           
80              37.90           10.24          
78              24.79           10.62          
76              15.67           10.86          
74              10.67           10.97          
72              8.59            10.95          
70              8.03            10.90          
68              8.13            10.85          
66              8.49            10.82          
64              8.73            10.80          
62              8.90            10.80          
60              9.12            10.82          
58              9.47            10.87          
56              10.23           10.92          
54              11.91           10.95          
52              20.48           10.96          
50              36.92           11.11          
48              55.52           11.49          
46              71.55           12.06          
44              81.38           12.73          
42              85.86           37.04          
40              87.07           61.13          
38              86.78           77.12          
36              86.09           72.84          
34              79.30           60.02          
32              73.27           46.01          
30              68.72           35.36          
28              68.87           29.39          
26              73.50           27.02          
24              78.88           26.62          
22              82.71           27.23          
20              84.75           28.14          
18              85.52           28.45          
16              85.60           28.43          
14              85.43           28.38          
12              85.23           28.29          
10              85.08           28.20          
8               79.05           28.60          
6               74.07           32.38          
4               60.66           29.35          
2               35.97           18.55          
0               85.00           85.00          
Object#    Angle      Distance   Width     
1          126  6    10.95      120       
2          154  146  27.02      08        

Count: 2
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             85.00           76.46          
178             113.33          104.80         
176             113.33          99.32          
174             103.89          92.73          
172             94.44           81.21          
170             88.15           78.63          
168             85.00           74.69          
166             83.95           76.81          
164             83.95           77.63          
162             84.30           80.36          
160             84.65           82.82          
158             84.88           84.36          
156             85.00           85.09          
154             85.04           85.30          
152             85.04           85.27          
150             85.03           85.17          
148             85.01           84.91          
146             85.00           84.85          
144             85.00           84.88          
142             85.00           83.54          
140             85.00           81.11          
138             85.00           80.42          
136             85.00           81.08          
134             85.00           80.65          
132             85.00           80.55          
130             85.00           79.52          
128             85.00           79.35          
126             85.00           79.60          
124             85.00           71.91          
122             85.00           54.76          
120             85.00           38.69          
118             85.00           26.58          
116             85.00           19.58          
114             85.00           16.45          
112             85.00           15.57          
110             85.00           15.64          
108             85.00           15.93          
106             85.00           16.25          
104             74.12           16.47          
102             53.13           16.42          
100             34.23           16.29          
98              21.77           16.17          
96              15.42           16.10          
94              12.98           15.98          
92              12.71           15.96          
90              13.33           15.90          
88              13.98           15.85          
86              14.80           15.84          
84              15.61           15.99          
82              16.98           16.15          
80              22.96           16.35          
78              41.76           16.51          
76              62.44           16.60          
74              76.85           16.72          
72              84.37           16.91          
70              87.09           17.13          
68              87.30           17.45          
66              86.60           40.07          
64              85.84           45.39          
62              85.30           53.21          
60              85.02           52.49          
58              84.92           51.11          
56              84.91           60.16          
54              84.94           71.46          
52              84.97           79.74          
50              84.99           84.25          
48              85.00           86.01          
46              85.00           85.11          
44              85.00           78.39          
42              85.00           69.30          
40              82.17           60.07          
38              78.81           52.37          
36              73.68           48.74          
34              60.53           50.63          
32              60.85           50.89          
30              69.01           46.83          
28              77.06           43.46          
26              82.39           39.79          
24              85.04           37.74          
22              85.61           34.82          
20              85.60           34.03          
18              82.17           32.66          
16              74.93           32.03          
14              68.95           32.58          
12              66.20           32.65          
10              62.77           31.87          
8               59.02           31.40          
6               51.45           31.11          
4               59.49           30.72          
2               42.34           20.35          
0               85.00           33.97          
Object#    Angle      Distance   Width     
1          98   4    16.15      94        
2          148  140  50.89      08        

Count: 2
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             85.00           85.00          
178             113.33          113.33         
176             113.33          113.33         
174             103.89          103.89         
172             94.44           94.44          
170             88.15           88.15          
168             85.00           85.00          
166             83.95           83.95          
164             83.95           83.95          
162             84.30           84.30          
160             82.25           84.65          
158             82.48           84.88          
156             83.40           85.00          
154             84.24           85.04          
152             84.77           85.04          
150             85.03           85.03          
148             85.10           85.01          
146             85.09           85.00          
144             85.06           85.00          
142             85.03           85.00          
140             85.01           85.00          
138             85.00           85.00          
136             85.00           85.00          
134             85.00           85.00          
132             85.00           77.50          
130             85.00           77.50          
128             85.00           80.00          
126             85.00           69.96          
124             85.00           65.30          
122             85.00           67.60          
120             85.00           61.39          
118             85.00           56.68          
116             85.00           59.42          
114             85.00           60.48          
112             85.00           64.37          
110             85.00           68.73          
108             85.00           71.17          
106             85.00           71.60          
104             85.00           73.47          
102             85.00           72.10          
100             85.00           70.05          
98              85.00           70.60          
96              85.00           71.14          
94              85.00           67.59          
92              85.00           69.38          
90              85.00           61.19          
88              85.00           42.37          
86              85.00           26.18          
84              85.00           16.07          
82              85.00           11.02          
80              82.60           9.17           
78              74.02           8.92           
76              62.56           9.27           
74              49.06           9.76           
72              33.80           10.06          
70              21.18           10.10          
68              12.86           10.04          
66              8.48            9.90           
64              6.81            9.76           
62              6.55            9.68           
60              6.82            9.55           
58              7.13            9.46           
56              7.41            9.57           
54              7.66            9.71           
52              7.91            9.82           
50              8.42            9.95           
48              9.59            10.06          
46              13.15           10.20          
44              23.17           10.32          
42              36.40           10.50          
40              54.25           10.71          
38              70.45           10.88          
36              80.70           17.08          
34              85.55           20.29          
32              86.98           31.96          
30              86.80           36.26          
28              86.14           41.67          
26              85.54           48.54          
24              85.16           46.96          
22              82.82           59.12          
20              82.58           71.80          
18              81.77           80.42          
16              77.73           84.83          
14              74.72           86.35          
12              70.47           86.41          
10              66.41           85.96          
8               67.20           85.49          
6               70.06           85.17          
4               64.29           76.71          
2               40.93           48.32          
0               85.00           85.00          
Object#    Angle      Distance   Width     
1          136  104  10.32      32        

Count: 1
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             85.00           85.00          
178             85.00           85.00          
176             85.00           85.00          
174             85.00           85.00          
172             85.00           85.00          
170             85.00           85.00          
168             85.00           85.00          
166             85.00           85.00          
164             85.00           85.00          
162             85.00           85.00          
160             85.00           85.00          
158             85.00           85.00          
156             85.00           85.00          
154             85.00           85.00          
152             85.00           85.00          
150             85.00           85.00          
148             85.00           85.00          
146             85.00           85.00          
144             85.00           50.16          
142             85.00           85.00          
140             85.00           70.40          
138             85.00           85.00          
136             85.00           85.00          
134             85.00           85.00          
132             85.00           65.64          
130             85.00           85.00          
128             85.00           72.35          
126             85.00           85.00          
124             85.00           85.00          
122             85.00           65.77          
120             85.00           84.16          
118             85.00           74.00          
116             85.00           63.63          
114             85.00           58.01          
112             85.00           62.89          
110             85.00           57.82          
108             85.00           74.01          
106             85.00           65.35          
104             85.00           63.68          
102             85.00           66.09          
100             85.00           70.98          
98              85.00           61.87          
96              85.00           73.83          
94              85.00           73.45          
92              85.00           73.65          
90              85.00           73.41          
88              85.00           72.19          
86              85.00           75.75          
84              85.00           73.61          
82              85.00           74.12          
80              85.00           76.18          
78              85.00           71.99          
76              85.00           73.56          
74              85.00           46.54          
72              85.00           14.28          
70              85.00           13.43          
68              85.00           12.29          
66              84.68           11.78          
64              80.37           11.52          
62              64.86           11.47          
60              50.22           11.43          
58              35.42           11.17          
56              19.12           10.92          
54              12.04           10.67          
52              9.45            10.67          
50              9.18            10.62          
48              8.79            10.62          
46              8.37            10.41          
44              8.79            10.17          
42              8.63            10.62          
40              8.57            10.19          
38              9.20            10.62          
36              9.64            10.84          
34              10.84           10.67          
32              13.60           11.12          
30              23.51           11.17          
28              42.16           11.22          
26              63.14           11.90          
24              77.32           11.73          
22              78.82           11.79          
20              85.00           12.67          
18              84.23           85.00          
16              85.00           65.55          
14              85.00           85.00          
12              85.00           85.00          
10              85.00           83.79          
8               76.41           85.00          
6               77.68           85.00          
4               76.03           71.45          
2               55.20           43.51          
0               85.00           63.93          
Object#    Angle      Distance   Width     
1          148  116  11.12      32        

Count: 1
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             85.00           85.00          
178             85.00           73.83          
176             85.00           85.00          
174             85.00           70.94          
172             85.00           85.00          
170             85.00           80.33          
168             85.00           85.00          
166             85.00           85.00          
164             85.00           85.00          
162             85.00           63.71          
160             85.00           85.00          
158             85.00           70.93          
156             85.00           85.00          
154             85.00           76.35          
152             85.00           85.00          
150             85.00           85.00          
148             85.00           85.00          
146             85.00           76.50          
144             85.00           85.00          
142             85.00           61.55          
140             85.00           85.00          
138             85.00           82.58          
136             85.00           81.47          
134             85.00           81.42          
132             85.00           82.43          
130             85.00           81.54          
128             85.00           81.47          
126             85.00           80.19          
124             85.00           74.91          
122             85.00           80.72          
120             85.00           80.63          
118             85.00           81.38          
116             85.00           84.02          
114             85.00           81.36          
112             85.00           55.02          
110             85.00           27.07          
108             85.00           19.10          
106             85.00           18.42          
104             85.00           17.91          
102             85.00           17.45          
100             85.00           17.20          
98              85.00           17.15          
96              67.13           16.89          
94              38.04           16.63          
92              21.41           16.63          
90              17.02           16.58          
88              16.25           16.58          
86              15.81           16.58          
84              14.79           16.58          
82              14.96           16.36          
80              15.65           16.59          
78              15.99           16.58          
76              16.70           16.58          
74              17.75           16.63          
72              20.13           16.63          
70              41.92           16.89          
68              72.90           16.89          
66              85.00           17.15          
64              85.00           17.84          
62              85.00           18.07          
60              85.00           18.55          
58              85.00           28.29          
56              85.00           85.00          
54              85.00           85.00          
52              85.00           85.00          
50              85.00           85.00          
48              85.00           85.00          
46              85.00           31.00          
44              85.00           32.18          
42              85.00           28.30          
40              85.00           30.05          
38              85.00           29.15          
36              85.00           32.58          
34              85.00           55.30          
32              81.24           45.49          
30              83.98           66.13          
28              80.13           45.68          
26              58.80           57.52          
24              71.59           47.07          
22              68.68           36.72          
20              84.11           43.60          
18              85.00           39.58          
16              85.00           30.34          
14              85.00           30.78          
12              85.00           31.70          
10              85.00           32.55          
8               85.00           38.05          
6               64.67           30.94          
4               63.34           28.53          
2               85.00           85.00          
0               85.00           73.89          
Object#    Angle      Distance   Width     
1          108  82   16.63      26        
2          158  152  36.72      06        
3          176  172  28.53      04        

Count: 3
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             85.00           29.48          
178             85.00           29.64          
176             85.00           29.38          
174             85.00           28.41          
172             85.00           28.15          
170             85.00           28.14          
168             85.00           28.07          
166             85.00           28.04          
164             85.00           27.99          
162             85.00           27.95          
160             62.71           28.17          
158             27.71           27.93          
156             27.58           28.14          
154             27.78           28.12          
152             26.20           28.12          
150             26.91           28.33          
148             27.26           28.33          
146             26.66           27.93          
144             31.76           27.95          
142             85.00           27.95          
140             85.00           28.00          
138             85.00           28.02          
136             85.00           28.31          
134             85.00           28.30          
132             85.00           29.02          
130             85.00           28.65          
128             85.00           28.95          
126             85.00           30.26          
124             85.00           35.37          
122             85.00           53.83          
120             85.00           76.35          
118             85.00           73.81          
116             85.00           65.65          
114             85.00           68.52          
112             85.00           49.37          
110             85.00           62.38          
108             85.00           67.17          
106             85.00           48.39          
104             85.00           61.58          
102             85.00           66.34          
100             85.00           46.29          
98              85.00           56.00          
96              85.00           57.60          
94              85.00           63.05          
92              85.00           53.56          
90              85.00           71.65          
88              85.00           67.58          
86              85.00           62.75          
84              85.00           81.12          
82              83.62           57.27          
80              77.69           85.00          
78              85.00           68.02          
76              85.00           85.00          
74              82.35           68.45          
72              85.00           85.00          
70              83.59           61.84          
68              85.00           85.00          
66              85.00           85.00          
64              85.00           85.00          
62              85.00           85.00          
60              85.00           73.52          
58              85.00           83.51          
56              85.00           57.31          
54              85.00           85.00          
52              85.00           85.00          
50              85.00           69.67          
48              85.00           85.00          
46              85.00           85.00          
44              85.00           35.00          
42              85.00           63.26          
40              85.00           50.53          
38              85.00           43.23          
36              85.00           68.60          
34              85.00           43.41          
32              85.00           57.62          
30              85.00           55.03          
28              85.00           39.70          
26              75.95           46.52          
24              79.08           39.79          
22              73.59           32.91          
20              72.44           64.65          
18              77.24           42.65          
16              64.39           64.69          
14              61.56           68.69          
12              60.86           40.57          
10              76.99           73.16          
8               85.00           41.18          
6               85.00           61.86          
4               85.00           46.57          
2               85.00           75.61          
0               67.53           51.01          
Object#    Angle      Distance   Width     
1          36   18   27.95      18        
2          168  164  40.57      04        

Count: 2
