Angle (Degrees) DistIR (cm)     Dist PING (cm) 
Object#    Angle      Distance   Width     
1          24   10   28.32      14        
2          144  120  28.40      24        

Count: 2
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             58.53           47.99          
178             85.00           46.85          
176             85.00           30.08          
174             85.00           30.03          
172             85.00           29.74          
170             85.00           29.23          
168             85.00           29.03          
166             85.00           29.00          
164             49.98           28.95          
162             36.08           28.72          
160             30.66           28.71          
158             32.82           28.88          
156             32.15           28.44          
154             31.47           28.44          
152             31.52           28.43          
150             32.19           28.64          
148             30.24           28.44          
146             31.39           28.43          
144             31.43           28.42          
142             32.30           28.88          
140             33.54           28.44          
138             41.44           28.49          
136             57.63           28.93          
134             73.25           28.98          
132             75.77           29.23          
130             69.96           29.50          
128             72.44           28.89          
126             64.63           29.01          
124             68.77           30.08          
122             68.26           30.13          
120             68.78           30.40          
118             66.15           31.15          
116             66.27           31.71          
114             65.10           65.90          
112             63.91           66.04          
110             63.80           65.99          
108             64.14           65.11          
106             62.25           65.22          
104             55.97           65.39          
102             61.47           65.13          
100             61.68           64.30          
98              61.58           64.30          
96              59.28           63.92          
94              59.49           64.14          
92              55.59           64.33          
90              60.12           64.10          
88              59.28           63.89          
86              55.07           63.67          
84              59.79           63.88          
82              58.68           63.89          
80              58.68           64.10          
78              59.23           63.79          
76              59.28           63.85          
74              61.19           63.89          
72              62.57           64.10          
70              55.49           64.32          
68              61.26           64.56          
66              61.79           64.44          
64              63.23           64.66          
62              60.31           64.73          
60              59.60           65.01          
58              61.70           65.15          
56              57.37           65.18          
54              65.42           65.35          
52              66.76           65.97          
50              66.75           66.66          
48              67.39           65.86          
46              69.71           47.47          
44              68.71           28.67          
42              62.90           28.63          
40              60.02           28.54          
38              57.92           25.76          
36              60.94           25.31          
34              48.30           24.35          
32              49.05           24.14          
30              36.28           23.67          
28              28.61           23.43          
26              24.54           23.62          
24              24.03           23.39          
22              23.94           23.40          
20              23.02           23.20          
18              24.00           23.45          
16              25.34           23.45          
14              40.00           23.46          
12              44.60           23.46          
10              50.12           23.71          
8               50.43           23.94          
6               50.35           24.42          
4               50.35           24.64          
2               50.90           25.18          
0               52.02           27.17          
Object#    Angle      Distance   Width     
1          42   14   28.49      28        
2          164  146  23.45      18        

Count: 2
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             45.24           38.31          
178             64.73           69.14          
176             66.88           69.62          
174             63.45           69.15          
172             59.74           69.12          
170             64.49           68.66          
168             63.34           69.03          
166             64.02           69.04          
164             59.83           68.55          
162             62.58           68.12          
160             63.79           68.13          
158             57.94           68.79          
156             61.22           68.55          
154             64.77           68.53          
152             62.58           68.76          
150             58.14           68.54          
148             61.58           68.75          
146             60.20           68.54          
144             64.02           68.75          
142             64.54           68.76          
140             63.01           68.57          
138             64.60           68.63          
136             58.10           69.31          
134             64.95           68.72          
132             64.42           69.19          
130             63.79           20.48          
128             58.77           19.78          
126             66.39           19.32          
124             66.39           19.08          
122             65.54           18.61          
120             61.14           18.56          
118             33.80           18.56          
116             19.99           18.30          
114             18.10           18.09          
112             18.27           18.06          
110             17.91           18.06          
108             17.98           18.04          
106             17.86           18.09          
104             17.59           18.08          
102             18.83           18.08          
100             21.93           18.07          
98              37.36           18.33          
96              41.93           18.58          
94              43.66           18.62          
92              47.99           18.85          
90              48.70           19.13          
88              47.21           19.59          
86              45.24           19.84          
84              44.75           29.94          
82              43.47           38.58          
80              41.55           38.30          
78              42.50           38.01          
76              41.98           37.95          
74              41.47           37.46          
72              41.36           37.68          
70              41.19           37.43          
68              38.05           37.15          
66              41.42           37.10          
64              41.86           37.13          
62              39.88           37.08          
60              43.33           36.85          
58              46.12           36.63          
56              45.98           36.63          
54              45.98           36.85          
52              46.32           36.86          
50              44.69           37.09          
48              40.90           36.89          
46              42.15           37.14          
44              42.35           36.91          
42              42.32           37.14          
40              39.61           37.21          
38              41.53           37.23          
36              39.93           37.50          
34              41.92           37.53          
32              43.45           37.81          
30              44.43           38.10          
28              50.20           38.15          
26              76.13           38.46          
24              84.39           38.74          
22              68.89           39.27          
20              73.44           39.54          
18              73.46           39.86          
16              85.00           40.15          
14              78.63           79.13          
12              85.00           85.00          
10              84.85           85.00          
8               85.00           85.00          
6               85.00           85.00          
4               85.00           85.00          
2               85.00           85.00          
0               80.01           85.00          
Object#    Angle      Distance   Width     
1          80   60   18.07      20        

Count: 1
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             26.47           25.37          
178             65.45           52.21          
176             68.77           41.62          
174             66.94           41.27          
172             67.64           54.39          
170             68.01           66.53          
168             66.57           66.01          
166             60.92           65.97          
164             65.56           65.45          
162             64.02           65.43          
160             64.37           64.94          
158             63.79           64.66          
156             58.23           64.84          
154             58.93           64.80          
152             62.01           64.56          
150             61.47           63.86          
148             61.47           63.83          
146             60.95           64.20          
144             54.35           63.53          
142             59.28           64.13          
140             61.16           63.70          
138             59.89           63.91          
136             59.69           63.91          
134             55.69           63.91          
132             59.18           63.70          
130             60.10           63.92          
128             54.51           63.94          
126             58.88           63.95          
124             59.84           63.93          
122             57.15           63.99          
120             61.90           63.99          
118             61.19           63.99          
116             51.56           64.03          
114             53.99           64.50          
112             52.72           64.98          
110             56.39           64.80          
108             59.15           64.91          
106             61.95           65.41          
104             63.11           16.65          
102             66.15           15.31          
100             65.19           14.83          
98              60.94           14.78          
96              50.35           14.60          
94              32.41           14.42          
92              19.54           14.43          
90              15.09           14.42          
88              14.05           14.42          
86              13.55           13.79          
84              13.16           13.79          
82              13.08           13.74          
80              13.11           13.76          
78              13.26           13.79          
76              13.25           13.80          
74              14.06           13.79          
72              17.92           14.13          
70              26.88           14.13          
68              44.25           14.42          
66              44.81           14.60          
64              45.99           14.43          
62              44.88           15.07          
60              42.12           15.56          
58              41.36           16.04          
56              40.97           17.22          
54              40.97           36.72          
52              41.41           37.05          
50              38.31           36.78          
48              41.03           36.78          
46              42.09           36.51          
44              43.33           36.72          
42              44.02           36.69          
40              44.72           36.27          
38              46.22           36.46          
36              46.32           36.67          
34              44.43           36.68          
32              42.97           36.48          
30              42.15           36.76          
28              41.08           36.75          
26              39.04           36.79          
24              40.92           36.83          
22              41.02           36.83          
20              38.52           37.10          
18              42.21           37.38          
16              42.09           37.43          
14              42.50           37.51          
12              43.15           37.78          
10              44.62           38.06          
8               46.18           38.11          
6               50.90           38.37          
4               64.56           38.77          
2               79.77           39.01          
0               74.95           39.72          
Object#    Angle      Distance   Width     
1          108  82   14.13      26        

Count: 1
Angle (Degrees) DistIR (cm)     Dist PING (cm) 
180             34.84           23.32          
178             62.63           64.88          
176             63.34           66.63          
174             65.93           65.88          
172             64.15           65.15          
170             62.46           65.56          
168             61.69           64.59          
166             61.47           64.13          
164             61.36           64.32          
162             62.12           63.78          
160             60.63           63.77          
158             60.74           63.53          
156             60.94           63.70          
154             53.90           63.26          
152             59.69           63.24          
150             59.64           63.23          
148             59.69           63.21          
146             59.59           63.22          
144             53.59           62.99          
142             59.28           63.22          
140             59.53           63.00          
138             56.08           63.00          
136             60.05           63.00          
134             59.48           63.02          
132             55.90           63.20          
130             59.53           63.20          
128             61.69           63.00          
126             61.55           63.50          
124             61.79           39.22          
122             61.52           13.88          
120             60.94           12.88          
118             61.52           12.41          
116             61.58           11.47          
114             61.90           11.06          
112             51.61           10.80          
110             21.89           10.49          
108             11.63           10.05          
106             10.46           10.27          
104             9.92            10.43          
102             9.62            10.43          
100             9.39            10.45          
98              9.37            10.45          
96              9.36            10.22          
94              9.53            10.22          
92              9.53            10.25          
90              10.24           10.28          
88              10.84           9.59           
86              15.21           10.32          
84              26.70           10.33          
82              39.12           11.08          
80              40.54           10.83          
78              43.39           11.98          
76              42.09           12.45          
74              42.27           13.17          
72              40.92           13.43          
70              37.08           14.18          
68              38.23           33.91          
66              37.55           33.86          
64              37.69           33.63          
62              36.94           33.36          
60              37.98           33.31          
58              37.88           33.49          
56              37.83           33.27          
54              35.95           33.03          
